Decile Change 2014 to 2015 for State & State Integrated Schools,,,,,,,,,,,,
,,,,,,,,,,,,
Inst #,School Name,Final 2015 Decile,"Final 2015 
Step","July 2014 Funding roll
Years 9+","July 2014 Funding roll
Total ",School Type,Authority,Territorial Local Authority,Regional Council,Ministry of Education Local Office,General Electorate,Māori Electorate
2814,Brandon Intermediate,1,B,0,135,Intermediate,State,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
20,Bream Bay College,5,M,303,448,Secondary (Year 7-15),State,Whangarei District,Northland Region,Whangarei,Whangarei,Te Tai Tokerau
3299,Breens Intermediate,7,O,0,258,Intermediate,State,Christchurch City,Canterbury Region,Christchurch,Ilam,Te Tai Tonga
2547,Bridge Pa School,2,D,0,58,Full Primary,State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
3183,Brightwater School,9,Q,0,285,Contributing,State,Tasman District,Tasman Region,Nelson,Nelson,Te Tai Tonga
3718,Broad Bay School,9,Q,0,48,Full Primary,State,Dunedin City,Otago Region,Dunedin,Dunedin South,Te Tai Tonga
3301,Broadfield School,9,Q,0,129,Full Primary,State,Selwyn District,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
3184,Broadgreen Intermediate,6,N,0,416,Intermediate,State,Nelson City,Nelson Region,Nelson,Nelson,Te Tai Tonga
1698,Broadlands School,8,P,0,100,Contributing,State,Rotorua District,Waikato Region,Rotorua,Rotorua,Waiariki
6,Broadwood Area School,1,C,79,119,Composite (Year 1-15),State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
3719,Brockville School,2,E,0,132,Full Primary,State,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
3302,Bromley School,3,G,0,324,Contributing,State,Christchurch City,Canterbury Region,Christchurch,Christchurch East,Te Tai Tonga
1236,Brookby School,5,M,0,124,Full Primary,State,Auckland- Franklin,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
1699,Brookfield School,4,J,0,206,Contributing,State,Tauranga City,Bay of Plenty Region,Rotorua,Tauranga,Waiariki
3185,Brooklyn School (Motueka),5,M,0,114,Full Primary,State,Tasman District,Tasman Region,Nelson,West Coast-Tasman,Te Tai Tonga
2816,Brooklyn School (Wellington),10,Z,0,451,Full Primary,State,Wellington City,Wellington Region,Wellington,Wellington Central,Te Tai Tonga
3303,Broomfield School,8,P,0,111,Full Primary,State,Hurunui District,Canterbury Region,Christchurch,Kaikoura,Te Tai Tonga
1237,Browns Bay School,10,Z,0,607,Contributing,State,Auckland- Hibiscus and Bays,Auckland Region,Auckland North,East Coast Bays,Te Tai Tokerau
1238,Bruce McLaren Intermediate,2,E,0,240,Intermediate,State,Auckland- Henderson-Massey,Auckland Region,Auckland North,Kelston,Te Tai Tokerau
2342,Brunswick School,7,O,0,79,Full Primary,State,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
1239,Buckland School,8,P,0,261,Full Primary,State,Auckland- Franklin,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
1240,Bucklands Beach Intermediate,9,Q,0,769,Intermediate,State,Auckland- Howick,Auckland Region,Auckland South,Pakuranga,Tamaki Makaurau
1241,Bucklands Beach Primary School,10,Z,0,448,Contributing,State,Auckland- Howick,Auckland Region,Auckland South,Pakuranga,Tamaki Makaurau
301,Buller High School,5,M,325,325,Secondary (Year 9-15),State,Buller District,West Coast Region,Nelson,West Coast-Tasman,Te Tai Tonga
2343,Bulls School,5,M,0,177,Full Primary,State,Rangitikei District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
2344,Bunnythorpe School,4,L,0,24,Full Primary,State,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
3304,Burnham School,10,Z,0,147,Full Primary,State,Selwyn District,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
319,Burnside High School,8,P,2444,2444,Secondary (Year 9-15),State,Christchurch City,Canterbury Region,Christchurch,Ilam,Te Tai Tonga
3305,Burnside Primary School,4,L,0,250,Contributing,State,Christchurch City,Canterbury Region,Christchurch,Ilam,Te Tai Tonga
2548,Camberley School,1,A,0,127,Contributing,State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
1700,Cambridge East School,10,Z,0,348,Contributing,State,Waipa District,Waikato Region,Hamilton,Taupo,Hauraki-Waikato
142,Cambridge High School,9,Q,1388,1388,Secondary (Year 9-15),State,Waipa District,Waikato Region,Hamilton,Taupo,Hauraki-Waikato
